,name
795,Tall Tales of the Wee Folk
796,Top Ballista
797,Gilded Latten Bones
798,Uppslagsverket Finland
799,Unscientific America
800,Second Skin (novel)
801,GeGeGe no Nyōbō
802,Baseball Fever
803,Campaign Sourcebook and Catacomb Guide
804,Smile (comics)
805,Psychotic Reactions and Carburetor Dung
806,Protection or Free Trade
807,"Arsène Lupin, Gentleman Burglar"
808,Lost Ships
809,Time of the Dragon
810,Internet and Technology Law Desk Reference
811,Twenty-Nine Kisses from Roald Dahl
812,Roald Dahl's Book of Ghost Stories
813,"Ah, Sweet Mystery of Life: The Country Stories of Roald Dahl"
814,The Shadow Elves
815,The Sea People
816,The Horde (boxed set)
817,Hollow World Campaign Set
818,The Roald Dahl Omnibus
819,The Collected Short Stories of Roald Dahl
820,Geographia Neoteriki
821,Chuang Tse and the First Emperor
822,Luv Ya Bunches
823,Exodus (Starfire)
824,Hit and Run (novel)
825,Return to the Lost Planet
826,Dacia (Pârvan)
827,Getica (Dio)
828,The Lifecycle of Software Objects
829,Tales of Unrest
830,Everlost
831,El Consejo de los Dioses
832,Daniel (Mankell novel)
833,The Dictator's Moustaches
834,Code Noir (novel)
835,Crash Deluxe
836,The 7 Habits of Highly Effective Teens
837,The Denationalization of Money
838,Guantanamo: My Journey
839,Codex (novel)
840,Orion in the Dying Time
841,The Forgotten Army
842,Les Égarements du cœur et de l'esprit
843,Steganographia
844,The Outsiders of Uskoken Castle
845,At Close Quarters
846,The Best Science Fiction of the Year 13
847,Terry Carr's Best Science Fiction of the Year 15
848,Terry Carr's Best Science Fiction and Fantasy of the Year 16
849,The Fifth Witness
850,No Land! No House! No Vote! (book)
851,Universe 1
852,Slights (novel)
853,Universe 2
854,Ummachu
855,The Empathic Civilization
856,Beyond the Crash
857,Playing Indian
858,The Light Beyond the Forest
859,The Road to Camlann
860,Witch  &  Wizard: The Gift
861,Riding the Rap
862,The Lampshade: A Holocaust Detective Story from Buchenwald to New Orleans
863,Griftopia
864,Odayil Ninnu
865,Security: A New Framework for Analysis
866,On Disobedience and Other Essays
867,Masterplots
868,The Man in the Moone
869,The Mind Readers
870,Diwan-e-Ghalib
871,X Isle
872,Knowledge and Human Interests
873,An Album of Fluid Motion
874,Overwinter (novel)
875,Sapphique
876,Hush (novel)
877,Common Sense on Mutual Funds
878,Hungry Ghosts: Mao's Secret Famine
879,Jack Adrift: Fourth Grade Without a Clue
880,Nozomi (book)
881,The Keepers of Truth
882,Fire and Sword (novel)
883,Winter of Fire (non-fiction)
884,China Men
885,How I Killed Pluto and Why It Had It Coming
886,Non (book)
887,Vengeance of Orion
888,Mother (Gorky novel)
889,The Fields of Death
890,Schilder-boeck
891,Maigret and the Dosser
892,Decoding Reality
893,The Dream of the Celt
894,The Key Word and Other Mysteries
895,The Disappearing Man and Other Mysteries
896,The Best Mysteries of Isaac Asimov
897,Mistaken (novel)
898,The Carbon Diaries: 2015
899,What We Lose
900,Toward a Feminist Theory of the State
901,The Immortal Life of Henrietta Lacks
902,Curious George Gets a Medal
903,No Boats on Bannermere
904,Up to Now (autobiography)
905,Mathematics Made Difficult
906,Champions of Ruin
907,Champions of Valor
908,Enemies and Allies
909,Hero Builder's Guidebook
910,Unapproachable East (supplement)
911,Battle Hymn of China
912,The Age of Empire: 1875–1914
913,Going to Extremes (book)
914,Only Words (book)
915,Turning Thirty
916,Gnomes (book)
917,Friendly Fire: The Illusion of Justice
918,Fire: From a Journal of Love
919,Grass (novel)
920,Dark Avenues
921,The Mousehole Cat
922,The Apocalypse Troll
923,Now I Know (novel)
924,The Toll Bridge
925,Flowering Nettle
926,Player One
927,Sapphira and the Slave Girl
928,Meelis
929,The Year's Best Science Fiction: Eighth Annual Collection
930,Treasure Islands: Tax Havens and the Men Who Stole the World
931,The History of White People
932,Moon Over Manifest
933,A Sick Day for Amos McGee
934,Ship Breaker
935,The Metropolis Case
936,The Queen's Throat
937,Tale of the Tribe
938,Coincidance: A Head Test
939,"Sex, Drugs and Magick"
940,Reality Is What You Can Get Away With
941,TSOG: The Thing That Ate the Constitution
942,"Natural Law, or Don't Put a Rubber on Your Willy"
943,"Everything Is Under Control: Conspiracies, Cults and Cover-ups"
944,Ishtar Rising
945,The Four Million
946,The Sex Magicians
947,Why We Get Fat
948,Battle Hymn of the Tiger Mother
949,Saigon (Grey novel)
950,This Is All: The Pillow Book of Cordelia Kenn
951,The Investment Answer
952,And the Band Played On
953,Interred with Their Bones
954,Can I Have 5 Minutes of Your Time?
955,Eleven Blue Men
956,Praetorian (novel)
957,The Search for WondLa
958,The Winner Stands Alone
959,The Last Empress: Madame Chiang Kai-shek and the Birth of Modern China
960,Alice Lorraine
961,More Than Good Intentions
962,Textbook of Biochemistry
963,The Throne of Fire
964,The 4-Hour Body
965,Lie Down with Lions
966,To the End of the Land
967,The Film That Changed My Life
968,Frog and Toad Together
969,Kitab Akhbar as-Sifat
970,Wilderness: The Lost Writings of Jim Morrison
971,Five Stories (short story collection)
972,The Twenty-Four-Inch Home Run
973,Goblins in the Castle
974,Guitar Zero
975,Ornithological Dictionary
976,The Blueberry Pie Elf
977,Paws and Whiskers
978,The Son (Nesbø novel)
979,Police (Nesbø novel)
980,A House in the Sky
981,Les Illusions de la Psychanalyse
982,Someone (novel)
983,Alliances (novel)
984,Gandhi Before India
985,Lobster (novel)
986,Saga of Old City
987,The Unconscious before Freud
988,Black August (novel)
989,The First Princess of Wales
990,Hansuli Banker Upakatha (novel)
991,Encyclopaedia Beliana
992,Diary of a Wimpy Kid: The Long Haul
993,"Noureddin, Son of Iran"
994,Slovenský náučný slovník
995,R.V.S.
996,Godolphin (novel)
997,The Great Shadow
998,Human Rights in World Context
